,AAA023D18,AAA023J06,AAA024D14,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,BIN_10,MEint1363,MEint2297,MEint283,MEint3864,MEint4252,MEint885,TBepi2057,TBepi2754,TBepi3207,TBepi3475,TBepi4208,TBhypo2152,TBhypo3463,TBhypo3838,TBhypo680,acIB-AMD-6,acIB-AMD-7,bin_7_acI-B2
group00010,AAA023D18.genome.CDS.1013;AAA023D18.genome.CDS.1168,AAA023J06.genome.CDS.1401;AAA023J06.genome.CDS.818,AAA024D14.genome.CDS.1053,AAA027J17.genome.CDS.995,AAA027L06.genome.CDS.1801,AAA027M14.genome.CDS.1006,AAA028A23.genome.CDS.1018,AAA028E20.genome.CDS.940,AAA028G02.genome.CDS.2503,,AAA041L13.genome.CDS.2393;AAA041L13.genome.CDS.1638,AAA044D11.genome.CDS.1389;AAA044D11.genome.CDS.2289,AAA044N04.genome.CDS.2544;AAA044N04.genome.CDS.2139,AAA044O16.genome.CDS.1630,AAA278I18.genome.CDS.1243;AAA278I18.genome.CDS.1807,AAA278O22.genome.CDS.1377;AAA278O22.genome.CDS.1942,AB141P03.genome.CDS.1186;AB141P03.genome.CDS.1113,BIN_10.genome.CDS.1640,MEint1363.genome.CDS.1015,MEint2297.genome.CDS.1998;MEint2297.genome.CDS.2264,MEint283.genome.CDS.1287;MEint283.genome.CDS.967;MEint283.genome.CDS.1469,MEint3864.genome.CDS.899,MEint4252.genome.CDS.1363;MEint4252.genome.CDS.1955;MEint4252.genome.CDS.2015,,TBepi2057.genome.CDS.1968;TBepi2057.genome.CDS.1134,TBepi2754.genome.CDS.2253,TBepi3207.genome.CDS.1832;TBepi3207.genome.CDS.2338,TBepi3475.genome.CDS.1471,TBepi4208.genome.CDS.1511,TBhypo2152.genome.CDS.1865,TBhypo3463.genome.CDS.1277;TBhypo3463.genome.CDS.1335;TBhypo3463.genome.CDS.1948,,TBhypo680.genome.CDS.1811,acIB-AMD-6.genome.CDS.964;acIB-AMD-6.genome.CDS.589,acIB-AMD-7.genome.CDS.1110;acIB-AMD-7.genome.CDS.1706;acIB-AMD-7.genome.CDS.1483,bin_7_acI-B2.genome.CDS.3825
group00011,AAA023D18.genome.CDS.754;AAA023D18.genome.CDS.1419,,AAA024D14.genome.CDS.1251,AAA027J17.genome.CDS.1815,AAA027L06.genome.CDS.1361;AAA027L06.genome.CDS.1360,AAA027M14.genome.CDS.929,AAA028A23.genome.CDS.1618,AAA028E20.genome.CDS.1272,AAA028G02.genome.CDS.1621,,AAA041L13.genome.CDS.2281;AAA041L13.genome.CDS.2740,AAA044D11.genome.CDS.1318,AAA044N04.genome.CDS.2244,AAA044O16.genome.CDS.2427;AAA044O16.genome.CDS.1618,AAA278I18.genome.CDS.1544,AAA278O22.genome.CDS.2269,AB141P03.genome.CDS.1007;AB141P03.genome.CDS.1217,BIN_10.genome.CDS.1874,,MEint2297.genome.CDS.1762;MEint2297.genome.CDS.2577,MEint283.genome.CDS.793,MEint3864.genome.CDS.1166,MEint4252.genome.CDS.1455,MEint885.genome.CDS.1418,TBepi2057.genome.CDS.1623;TBepi2057.genome.CDS.1830,TBepi2754.genome.CDS.2556,TBepi3207.genome.CDS.1924,TBepi3475.genome.CDS.1177,TBepi4208.genome.CDS.1628,TBhypo2152.genome.CDS.1206,TBhypo3463.genome.CDS.1762,TBhypo3838.genome.CDS.665;TBhypo3838.genome.CDS.840,TBhypo680.genome.CDS.2434,,acIB-AMD-7.genome.CDS.1259;acIB-AMD-7.genome.CDS.1356,bin_7_acI-B2.genome.CDS.3390
group00012,AAA023D18.genome.CDS.1343,AAA023J06.genome.CDS.1167;AAA023J06.genome.CDS.1178;AAA023J06.genome.CDS.1000,AAA024D14.genome.CDS.1199;AAA024D14.genome.CDS.1180,AAA027J17.genome.CDS.1604,AAA027L06.genome.CDS.1571;AAA027L06.genome.CDS.1677,AAA027M14.genome.CDS.1472,,AAA028E20.genome.CDS.1177,AAA028G02.genome.CDS.2077,,AAA041L13.genome.CDS.2937;AAA041L13.genome.CDS.2365,,AAA044N04.genome.CDS.1454;AAA044N04.genome.CDS.1565;AAA044N04.genome.CDS.1867,AAA044O16.genome.CDS.2295;AAA044O16.genome.CDS.1551;AAA044O16.genome.CDS.2537,AAA278I18.genome.CDS.1001,AAA278O22.genome.CDS.1534,,BIN_10.genome.CDS.1198,MEint1363.genome.CDS.1431;MEint1363.genome.CDS.1322,MEint2297.genome.CDS.1522;MEint2297.genome.CDS.2328,MEint283.genome.CDS.1497;MEint283.genome.CDS.1346,MEint3864.genome.CDS.1305,,MEint885.genome.CDS.1585;MEint885.genome.CDS.1596;MEint885.genome.CDS.959,TBepi2057.genome.CDS.1609;TBepi2057.genome.CDS.1780,TBepi2754.genome.CDS.1560;TBepi2754.genome.CDS.2611;TBepi2754.genome.CDS.2600,TBepi3207.genome.CDS.2196;TBepi3207.genome.CDS.229,TBepi3475.genome.CDS.1913,,,TBhypo3463.genome.CDS.1629;TBhypo3463.genome.CDS.27,TBhypo3838.genome.CDS.777,TBhypo680.genome.CDS.1540;TBhypo680.genome.CDS.1774,,,bin_7_acI-B2.genome.CDS.3203;bin_7_acI-B2.genome.CDS.3979
group00013,AAA023D18.genome.CDS.1094,,AAA024D14.genome.CDS.1476;AAA024D14.genome.CDS.1578,AAA027J17.genome.CDS.1833;AAA027J17.genome.CDS.1536,AAA027L06.genome.CDS.1856;AAA027L06.genome.CDS.2121,AAA027M14.genome.CDS.983,AAA028A23.genome.CDS.1240;AAA028A23.genome.CDS.1173,AAA028E20.genome.CDS.1161;AAA028E20.genome.CDS.1591,AAA028G02.genome.CDS.1508,AAA028I14.genome.CDS.1527,AAA041L13.genome.CDS.1459,AAA044D11.genome.CDS.1980;AAA044D11.genome.CDS.2171,AAA044N04.genome.CDS.2417,,AAA278I18.genome.CDS.1587;AAA278I18.genome.CDS.1147,AAA278O22.genome.CDS.1797;AAA278O22.genome.CDS.1791,AB141P03.genome.CDS.1283,BIN_10.genome.CDS.1748,MEint1363.genome.CDS.1683,MEint2297.genome.CDS.1993;MEint2297.genome.CDS.2269,MEint283.genome.CDS.1004,MEint3864.genome.CDS.942,MEint4252.genome.CDS.1771;MEint4252.genome.CDS.1987,MEint885.genome.CDS.1361,TBepi2057.genome.CDS.1737,TBepi2754.genome.CDS.2724,TBepi3207.genome.CDS.1359;TBepi3207.genome.CDS.2570,TBepi3475.genome.CDS.1010,TBepi4208.genome.CDS.2034,TBhypo2152.genome.CDS.1775,TBhypo3463.genome.CDS.1528;TBhypo3463.genome.CDS.2409,TBhypo3838.genome.CDS.959,TBhypo680.genome.CDS.1430,acIB-AMD-6.genome.CDS.731;acIB-AMD-6.genome.CDS.955;acIB-AMD-6.genome.CDS.865,acIB-AMD-7.genome.CDS.1829;acIB-AMD-7.genome.CDS.1855,bin_7_acI-B2.genome.CDS.3748;bin_7_acI-B2.genome.CDS.2574;bin_7_acI-B2.genome.CDS.3815
group00014,AAA023D18.genome.CDS.776,AAA023J06.genome.CDS.1121,AAA024D14.genome.CDS.1587;AAA024D14.genome.CDS.1034,AAA027J17.genome.CDS.1866,AAA027L06.genome.CDS.1338,AAA027M14.genome.CDS.840;AAA027M14.genome.CDS.979,AAA028A23.genome.CDS.1477,AAA028E20.genome.CDS.1695;AAA028E20.genome.CDS.959,AAA028G02.genome.CDS.1965;AAA028G02.genome.CDS.2523,AAA028I14.genome.CDS.997,AAA041L13.genome.CDS.2480;AAA041L13.genome.CDS.1657,AAA044D11.genome.CDS.1296,AAA044N04.genome.CDS.1871;AAA044N04.genome.CDS.2120,AAA044O16.genome.CDS.1737;AAA044O16.genome.CDS.1650,AAA278I18.genome.CDS.1504,AAA278O22.genome.CDS.1391;AAA278O22.genome.CDS.1855,,BIN_10.genome.CDS.2220;BIN_10.genome.CDS.1972;BIN_10.genome.CDS.1108,MEint1363.genome.CDS.1299,MEint2297.genome.CDS.2189,MEint283.genome.CDS.1239,MEint3864.genome.CDS.1541;MEint3864.genome.CDS.917,MEint4252.genome.CDS.1610;MEint4252.genome.CDS.1633;MEint4252.genome.CDS.2134,MEint885.genome.CDS.1451;MEint885.genome.CDS.1286,TBepi2057.genome.CDS.1730;TBepi2057.genome.CDS.1917,TBepi2754.genome.CDS.2522;TBepi2754.genome.CDS.1630,TBepi3207.genome.CDS.1793;TBepi3207.genome.CDS.2426,,TBepi4208.genome.CDS.1845;TBepi4208.genome.CDS.1760,TBhypo2152.genome.CDS.1364,TBhypo3463.genome.CDS.1541;TBhypo3463.genome.CDS.1753,,TBhypo680.genome.CDS.2468;TBhypo680.genome.CDS.1312,,acIB-AMD-7.genome.CDS.1456,bin_7_acI-B2.genome.CDS.3866
group00015,AAA023D18.genome.CDS.900,AAA023J06.genome.CDS.729,AAA024D14.genome.CDS.1088;AAA024D14.genome.CDS.885,AAA027J17.genome.CDS.1448;AAA027J17.genome.CDS.1514,AAA027L06.genome.CDS.2143,AAA027M14.genome.CDS.896;AAA027M14.genome.CDS.1146,AAA028A23.genome.CDS.1195,AAA028E20.genome.CDS.1543;AAA028E20.genome.CDS.1039,AAA028G02.genome.CDS.2030;AAA028G02.genome.CDS.2669,AAA028I14.genome.CDS.939,AAA041L13.genome.CDS.1985,AAA044D11.genome.CDS.1651;AAA044D11.genome.CDS.1931,AAA044N04.genome.CDS.1972;AAA044N04.genome.CDS.1394,AAA044O16.genome.CDS.1823;AAA044O16.genome.CDS.1906,AAA278I18.genome.CDS.1875;AAA278I18.genome.CDS.1169,AAA278O22.genome.CDS.1279;AAA278O22.genome.CDS.1458,,BIN_10.genome.CDS.2048;BIN_10.genome.CDS.1774,MEint1363.genome.CDS.1082;MEint1363.genome.CDS.1867,MEint2297.genome.CDS.2710;MEint2297.genome.CDS.2116,MEint283.genome.CDS.1068,MEint3864.genome.CDS.1272,MEint4252.genome.CDS.2048,MEint885.genome.CDS.979,TBepi2057.genome.CDS.1579;TBepi2057.genome.CDS.998,TBepi2754.genome.CDS.2113,TBepi3207.genome.CDS.2021;TBepi3207.genome.CDS.2512,TBepi3475.genome.CDS.1892,TBepi4208.genome.CDS.1266,TBhypo2152.genome.CDS.1658,,,TBhypo680.genome.CDS.1626,acIB-AMD-6.genome.CDS.772,acIB-AMD-7.genome.CDS.1562;acIB-AMD-7.genome.CDS.972;acIB-AMD-7.genome.CDS.1968,bin_7_acI-B2.genome.CDS.3114;bin_7_acI-B2.genome.CDS.3083;bin_7_acI-B2.genome.CDS.2495
group00016,AAA023D18.genome.CDS.1072;AAA023D18.genome.CDS.1194,AAA023J06.genome.CDS.1359,AAA024D14.genome.CDS.1272,AAA027J17.genome.CDS.1947,AAA027L06.genome.CDS.1463;AAA027L06.genome.CDS.1749,AAA027M14.genome.CDS.1632,AAA028A23.genome.CDS.1610;AAA028A23.genome.CDS.1043,AAA028E20.genome.CDS.1712,AAA028G02.genome.CDS.1563;AAA028G02.genome.CDS.2536,AAA028I14.genome.CDS.1117,AAA041L13.genome.CDS.1573,AAA044D11.genome.CDS.1541;AAA044D11.genome.CDS.1383;AAA044D11.genome.CDS.1459,AAA044N04.genome.CDS.2487;AAA044N04.genome.CDS.1307,AAA044O16.genome.CDS.1428;AAA044O16.genome.CDS.1663;AAA044O16.genome.CDS.2049,AAA278I18.genome.CDS.1129,AAA278O22.genome.CDS.2338;AAA278O22.genome.CDS.1868,,BIN_10.genome.CDS.1907,MEint1363.genome.CDS.1357;MEint1363.genome.CDS.1286,MEint2297.genome.CDS.2176;MEint2297.genome.CDS.1708,MEint283.genome.CDS.993,MEint3864.genome.CDS.1569,MEint4252.genome.CDS.1647;MEint4252.genome.CDS.2245;MEint4252.genome.CDS.1311;MEint4252.genome.CDS.1369,MEint885.genome.CDS.1394,TBepi2057.genome.CDS.1508,TBepi2754.genome.CDS.1671;TBepi2754.genome.CDS.1741,,TBepi3475.genome.CDS.1145;TBepi3475.genome.CDS.199,TBepi4208.genome.CDS.1145;TBepi4208.genome.CDS.1232,TBhypo2152.genome.CDS.1453,TBhypo3463.genome.CDS.1568,,TBhypo680.genome.CDS.2062;TBhypo680.genome.CDS.2160,,acIB-AMD-7.genome.CDS.1319;acIB-AMD-7.genome.CDS.1438,bin_7_acI-B2.genome.CDS.3646
group00017,,AAA023J06.genome.CDS.1494,,AAA027J17.genome.CDS.1019;AAA027J17.genome.CDS.1487,AAA027L06.genome.CDS.1221;AAA027L06.genome.CDS.1640,AAA027M14.genome.CDS.1033,AAA028A23.genome.CDS.1443,AAA028E20.genome.CDS.1683,,AAA028I14.genome.CDS.850,AAA041L13.genome.CDS.1603;AAA041L13.genome.CDS.2608,AAA044D11.genome.CDS.1172;AAA044D11.genome.CDS.1828,AAA044N04.genome.CDS.2174,,AAA278I18.genome.CDS.1485,AAA278O22.genome.CDS.1851,AB141P03.genome.CDS.1195;AB141P03.genome.CDS.957,BIN_10.genome.CDS.1897,MEint1363.genome.CDS.972;MEint1363.genome.CDS.1219,MEint2297.genome.CDS.2289;MEint2297.genome.CDS.2663;MEint2297.genome.CDS.1498,MEint283.genome.CDS.1190,MEint3864.genome.CDS.1543,MEint4252.genome.CDS.1394;MEint4252.genome.CDS.1782,MEint885.genome.CDS.1449,TBepi2057.genome.CDS.1686;TBepi2057.genome.CDS.1923,TBepi2754.genome.CDS.1595;TBepi2754.genome.CDS.1786,TBepi3207.genome.CDS.2215;TBepi3207.genome.CDS.1782,TBepi3475.genome.CDS.1322;TBepi3475.genome.CDS.1674,TBepi4208.genome.CDS.1005;TBepi4208.genome.CDS.1463,TBhypo2152.genome.CDS.1143;TBhypo2152.genome.CDS.1163,TBhypo3463.genome.CDS.1820,TBhypo3838.genome.CDS.918,TBhypo680.genome.CDS.1348;TBhypo680.genome.CDS.1912,acIB-AMD-6.genome.CDS.564,acIB-AMD-7.genome.CDS.1689;acIB-AMD-7.genome.CDS.1054,bin_7_acI-B2.genome.CDS.2720;bin_7_acI-B2.genome.CDS.2695
group00018,,AAA023J06.genome.CDS.1466,,AAA027J17.genome.CDS.1017;AAA027J17.genome.CDS.1214,AAA027L06.genome.CDS.1219;AAA027L06.genome.CDS.2357,AAA027M14.genome.CDS.1031,AAA028A23.genome.CDS.1705;AAA028A23.genome.CDS.1152,,AAA028G02.genome.CDS.2203,AAA028I14.genome.CDS.1249,AAA041L13.genome.CDS.1605;AAA041L13.genome.CDS.2379,AAA044D11.genome.CDS.1174;AAA044D11.genome.CDS.2264,AAA044N04.genome.CDS.2172;AAA044N04.genome.CDS.1694,AAA044O16.genome.CDS.2666,AAA278I18.genome.CDS.1487,AAA278O22.genome.CDS.2080,AB141P03.genome.CDS.1197,BIN_10.genome.CDS.1416;BIN_10.genome.CDS.2119,MEint1363.genome.CDS.974;MEint1363.genome.CDS.1383,MEint2297.genome.CDS.2291;MEint2297.genome.CDS.2315,MEint283.genome.CDS.1188;MEint283.genome.CDS.1511,MEint3864.genome.CDS.1435;MEint3864.genome.CDS.1340,MEint4252.genome.CDS.1392;MEint4252.genome.CDS.1932,MEint885.genome.CDS.1296;MEint885.genome.CDS.1544,TBepi2057.genome.CDS.1313;TBepi2057.genome.CDS.1552;TBepi2057.genome.CDS.1684,TBepi2754.genome.CDS.1597;TBepi2754.genome.CDS.2675,TBepi3207.genome.CDS.2213,TBepi3475.genome.CDS.1324;TBepi3475.genome.CDS.1655,TBepi4208.genome.CDS.1003;TBepi4208.genome.CDS.1580,TBhypo2152.genome.CDS.1145;TBhypo2152.genome.CDS.940,TBhypo3463.genome.CDS.1822;TBhypo3463.genome.CDS.1983,,TBhypo680.genome.CDS.1346;TBhypo680.genome.CDS.1951,acIB-AMD-6.genome.CDS.566,acIB-AMD-7.genome.CDS.1618;acIB-AMD-7.genome.CDS.742,bin_7_acI-B2.genome.CDS.2800;bin_7_acI-B2.genome.CDS.3337
group00019,,AAA023J06.genome.CDS.915,AAA024D14.genome.CDS.831,AAA027J17.genome.CDS.1891;AAA027J17.genome.CDS.1264,AAA027L06.genome.CDS.1833,,AAA028A23.genome.CDS.1429,AAA028E20.genome.CDS.1718,AAA028G02.genome.CDS.2137,AAA028I14.genome.CDS.1312;AAA028I14.genome.CDS.1350,AAA041L13.genome.CDS.1500;AAA041L13.genome.CDS.1722,AAA044D11.genome.CDS.1798;AAA044D11.genome.CDS.1476,AAA044N04.genome.CDS.2354;AAA044N04.genome.CDS.1623,AAA044O16.genome.CDS.1586;AAA044O16.genome.CDS.2594,AAA278I18.genome.CDS.1564,AAA278O22.genome.CDS.1596,AB141P03.genome.CDS.1073,BIN_10.genome.CDS.1727,,MEint2297.genome.CDS.1604,MEint283.genome.CDS.849,MEint3864.genome.CDS.981,MEint4252.genome.CDS.1596,MEint885.genome.CDS.1184,TBepi2057.genome.CDS.1497,TBepi2754.genome.CDS.2498,TBepi3207.genome.CDS.2313;TBepi3207.genome.CDS.2385,TBepi3475.genome.CDS.1032,TBepi4208.genome.CDS.1156,TBhypo2152.genome.CDS.1515,TBhypo3463.genome.CDS.2220;TBhypo3463.genome.CDS.2248,TBhypo3838.genome.CDS.867,TBhypo680.genome.CDS.1549;TBhypo680.genome.CDS.2597,acIB-AMD-6.genome.CDS.655;acIB-AMD-6.genome.CDS.796,acIB-AMD-7.genome.CDS.1213;acIB-AMD-7.genome.CDS.1735,bin_7_acI-B2.genome.CDS.3449
group00020,,AAA023J06.genome.CDS.1259;AAA023J06.genome.CDS.1188,AAA024D14.genome.CDS.1222,AAA027J17.genome.CDS.1106,AAA027L06.genome.CDS.2200,,,AAA028E20.genome.CDS.1704;AAA028E20.genome.CDS.1279,AAA028G02.genome.CDS.2224,AAA028I14.genome.CDS.826,AAA041L13.genome.CDS.2265;AAA041L13.genome.CDS.2276,AAA044D11.genome.CDS.2046;AAA044D11.genome.CDS.1687,AAA044N04.genome.CDS.1477;AAA044N04.genome.CDS.1430,,AAA278I18.genome.CDS.1889,AAA278O22.genome.CDS.1186,,,MEint1363.genome.CDS.1460,MEint2297.genome.CDS.2565;MEint2297.genome.CDS.1867,,MEint3864.genome.CDS.1407,,,TBepi2057.genome.CDS.1805,TBepi2754.genome.CDS.2720,TBepi3207.genome.CDS.1711,TBepi3475.genome.CDS.1353;TBepi3475.genome.CDS.1275,TBepi4208.genome.CDS.1091,TBhypo2152.genome.CDS.962,TBhypo3463.genome.CDS.1430,TBhypo3838.genome.CDS.786,TBhypo680.genome.CDS.1887;TBhypo680.genome.CDS.1998,,acIB-AMD-7.genome.CDS.1301,bin_7_acI-B2.genome.CDS.2750;bin_7_acI-B2.genome.CDS.2135;bin_7_acI-B2.genome.CDS.3358
group00021,,AAA023J06.genome.CDS.1257;AAA023J06.genome.CDS.1189,AAA024D14.genome.CDS.1223,AAA027J17.genome.CDS.1104,AAA027L06.genome.CDS.2197,AAA027M14.genome.CDS.1665,,AAA028E20.genome.CDS.1278,AAA028G02.genome.CDS.2226,AAA028I14.genome.CDS.825,AAA041L13.genome.CDS.2267;AAA041L13.genome.CDS.2274,AAA044D11.genome.CDS.1684;AAA044D11.genome.CDS.2047,AAA044N04.genome.CDS.1475;AAA044N04.genome.CDS.1429,,AAA278I18.genome.CDS.1885,AAA278O22.genome.CDS.1189,,,MEint1363.genome.CDS.1457,MEint2297.genome.CDS.2027;MEint2297.genome.CDS.1868,,MEint3864.genome.CDS.1402;MEint3864.genome.CDS.1406,,MEint885.genome.CDS.1310;MEint885.genome.CDS.1314,TBepi2057.genome.CDS.1614,TBepi2754.genome.CDS.2719,TBepi3207.genome.CDS.1713,TBepi3475.genome.CDS.1355,,TBhypo2152.genome.CDS.959,TBhypo3463.genome.CDS.1428,TBhypo3838.genome.CDS.784,TBhypo680.genome.CDS.1999,,,bin_7_acI-B2.genome.CDS.2752;bin_7_acI-B2.genome.CDS.2132
group00022,,,,,AAA027L06.genome.CDS.1870,,,AAA028E20.genome.CDS.1524,AAA028G02.genome.CDS.1402,AAA028I14.genome.CDS.908,AAA041L13.genome.CDS.2235,AAA044D11.genome.CDS.1718,AAA044N04.genome.CDS.2454,AAA044O16.genome.CDS.2354,AAA278I18.genome.CDS.1292,AAA278O22.genome.CDS.1740,AB141P03.genome.CDS.1262,BIN_10.genome.CDS.546,,,MEint283.genome.CDS.1482,MEint3864.genome.CDS.1008,MEint4252.genome.CDS.2065,MEint885.genome.CDS.1131,TBepi2057.genome.CDS.1759,TBepi2754.genome.CDS.2104,TBepi3207.genome.CDS.1304,TBepi3475.genome.CDS.1247,TBepi4208.genome.CDS.1101,TBhypo2152.genome.CDS.1431,TBhypo3463.genome.CDS.1618,TBhypo3838.genome.CDS.897,TBhypo680.genome.CDS.1715,acIB-AMD-6.genome.CDS.1046,acIB-AMD-7.genome.CDS.1782,bin_7_acI-B2.genome.CDS.2627
group00023,,,,AAA027J17.genome.CDS.1026,AAA027L06.genome.CDS.1230,AAA027M14.genome.CDS.1045,AAA028A23.genome.CDS.1680,,AAA028G02.genome.CDS.2388,,AAA041L13.genome.CDS.2601,,AAA044N04.genome.CDS.2183,AAA044O16.genome.CDS.1566,AAA278I18.genome.CDS.1476,,AB141P03.genome.CDS.1178,BIN_10.genome.CDS.329,MEint1363.genome.CDS.958,MEint2297.genome.CDS.2277;MEint2297.genome.CDS.2677,MEint283.genome.CDS.1093,,MEint4252.genome.CDS.1405,MEint885.genome.CDS.1107,TBepi2057.genome.CDS.1934,TBepi2754.genome.CDS.1587,TBepi3207.genome.CDS.2223,TBepi3475.genome.CDS.1313,TBepi4208.genome.CDS.1016,TBhypo2152.genome.CDS.1110,TBhypo3463.genome.CDS.1812,,TBhypo680.genome.CDS.1356,acIB-AMD-6.genome.CDS.555,acIB-AMD-7.genome.CDS.1680;acIB-AMD-7.genome.CDS.1232,bin_7_acI-B2.genome.CDS.2707
group00024,AAA023D18.genome.CDS.1520,AAA023J06.genome.CDS.1194,AAA024D14.genome.CDS.915,AAA027J17.genome.CDS.1074,AAA027L06.genome.CDS.1510,,AAA028A23.genome.CDS.958,,,,,AAA044D11.genome.CDS.1679,AAA044N04.genome.CDS.1424,AAA044O16.genome.CDS.1935,AAA278I18.genome.CDS.1426,AAA278O22.genome.CDS.1248,AB141P03.genome.CDS.800;AB141P03.genome.CDS.822,BIN_10.genome.CDS.1335,MEint1363.genome.CDS.1657,MEint2297.genome.CDS.1563,,,,MEint885.genome.CDS.838,TBepi2057.genome.CDS.1230,TBepi2754.genome.CDS.1909;TBepi2754.genome.CDS.2324,TBepi3207.genome.CDS.1380,TBepi3475.genome.CDS.1452,,,,,TBhypo680.genome.CDS.1812,,,bin_7_acI-B2.genome.CDS.3119
group00025,AAA023D18.genome.CDS.1327,,,,AAA027L06.genome.CDS.2037,,AAA028A23.genome.CDS.1652,,AAA028G02.genome.CDS.2173;AAA028G02.genome.CDS.1664,AAA028I14.genome.CDS.1279,AAA041L13.genome.CDS.1853,AAA044D11.genome.CDS.1508;AAA044D11.genome.CDS.1585,AAA044N04.genome.CDS.1662,AAA044O16.genome.CDS.2635;AAA044O16.genome.CDS.2019,AAA278I18.genome.CDS.1328,,AB141P03.genome.CDS.1374;AB141P03.genome.CDS.1373;AB141P03.genome.CDS.1295,BIN_10.genome.CDS.1162,MEint1363.genome.CDS.1412,MEint2297.genome.CDS.1935,,MEint3864.genome.CDS.1020,MEint4252.genome.CDS.1919,MEint885.genome.CDS.1228,TBepi2057.genome.CDS.980;TBepi2057.genome.CDS.981,TBepi2754.genome.CDS.2585,TBepi3207.genome.CDS.1374,TBepi3475.genome.CDS.1698,,TBhypo2152.genome.CDS.1287,TBhypo3463.genome.CDS.1649,TBhypo3838.genome.CDS.485,TBhypo680.genome.CDS.2569,,,bin_7_acI-B2.genome.CDS.2259;bin_7_acI-B2.genome.CDS.2379;bin_7_acI-B2.genome.CDS.3478
group00026,AAA023D18.genome.CDS.840,AAA023J06.genome.CDS.803,AAA024D14.genome.CDS.950,AAA027J17.genome.CDS.2045,AAA027L06.genome.CDS.1655,AAA027M14.genome.CDS.1621,AAA028A23.genome.CDS.1459,AAA028E20.genome.CDS.1660,AAA028G02.genome.CDS.1936;AAA028G02.genome.CDS.1935,AAA028I14.genome.CDS.1022,AAA041L13.genome.CDS.2344,AAA044D11.genome.CDS.1892,AAA044N04.genome.CDS.1893,AAA044O16.genome.CDS.2491,AAA278I18.genome.CDS.1401,AAA278O22.genome.CDS.2311;AAA278O22.genome.CDS.198,AB141P03.genome.CDS.975,BIN_10.genome.CDS.1618,MEint1363.genome.CDS.1035,MEint2297.genome.CDS.2738,,,MEint4252.genome.CDS.1302;MEint4252.genome.CDS.1994,,TBepi2057.genome.CDS.1941,TBepi2754.genome.CDS.1752,TBepi3207.genome.CDS.2464,,TBepi4208.genome.CDS.1562,TBhypo2152.genome.CDS.1717,TBhypo3463.genome.CDS.1646,TBhypo3838.genome.CDS.878,TBhypo680.genome.CDS.2342,,acIB-AMD-7.genome.CDS.1038,bin_7_acI-B2.genome.CDS.2683;bin_7_acI-B2.genome.CDS.3566
group00027,AAA023D18.genome.CDS.1358,AAA023J06.genome.CDS.1373,AAA024D14.genome.CDS.1293,AAA027J17.genome.CDS.1622,AAA027L06.genome.CDS.377,AAA027M14.genome.CDS.1490,AAA028A23.genome.CDS.711,AAA028E20.genome.CDS.383;AAA028E20.genome.CDS.1441;AAA028E20.genome.CDS.1592,AAA028G02.genome.CDS.2063,,AAA041L13.genome.CDS.2369,AAA044D11.genome.CDS.1058;AAA044D11.genome.CDS.1616,AAA044N04.genome.CDS.1551;AAA044N04.genome.CDS.2306,AAA044O16.genome.CDS.2523,AAA278I18.genome.CDS.986,AAA278O22.genome.CDS.1550;AAA278O22.genome.CDS.1224,,BIN_10.genome.CDS.1964;BIN_10.genome.CDS.1800,MEint1363.genome.CDS.1176;MEint1363.genome.CDS.1516,MEint2297.genome.CDS.1537,,MEint3864.genome.CDS.1222;MEint3864.genome.CDS.1585,MEint4252.genome.CDS.920;MEint4252.genome.CDS.1272;MEint4252.genome.CDS.2016,MEint885.genome.CDS.963;MEint885.genome.CDS.1716,TBepi2057.genome.CDS.1458;TBepi2057.genome.CDS.1137,TBepi2754.genome.CDS.1408,TBepi3207.genome.CDS.1988;TBepi3207.genome.CDS.1987,TBepi3475.genome.CDS.1855,TBepi4208.genome.CDS.1870;TBepi4208.genome.CDS.1342,TBhypo2152.genome.CDS.1403,TBhypo3463.genome.CDS.1353,,TBhypo680.genome.CDS.2246,acIB-AMD-6.genome.CDS.1052,acIB-AMD-7.genome.CDS.1114;acIB-AMD-7.genome.CDS.1915,bin_7_acI-B2.genome.CDS.2930;bin_7_acI-B2.genome.CDS.4010
